Postcode,Rent (per sq.ft)
E10 6AE,25.13
E13 9BA,72.14
E2 0PJ,40.13
E15 1XA,47.77
E16 2BG,24.81
E7 0EP,37.38
RM6 5NR,12.8
E15 4QS,27.09
E13 9BA,30.34
E3 4TU,22.89
IG11 8TF,22.77
E11 4DT,18.44
E10 5PW,13.52
UB6 7LA,25.0
CR4 2JD,16.0
HA9 0PL,27.83
SW15 1EZ,53.73
CR0 0JD,18.67
CR0 0JL,24.32
NW1 7AN,51.02
KT1 3NG,21.17
CR0 1XJ,31.65
UB3 4DF,63.3
TW9 1SE,46.41
E14 9EA,30.0
SW18 1UN,39.33
N1 9GZ,17.58
NW8 6LS,35.21
NW8 7AY,51.61
SM6 0DE,25.79
SE20 8AJ,22.02
NW3 3NT,21.88
TW11 8EW,32.8
EC1Y 8NX,27.26
CR7 7ND,28.35
SW13 0PZ,46.6
W1T 6PQ,600.0
W1W 7NX,60.96
HA1 1HS,122.55
N15 4GE,372.77
N15 4EY,394.48
TW3 1ES,15.43
EC4N 7BL,56.6
EC2V 5BR,135.34
EC3A 8AA,116.49
CR0 1SZ,21.86
TW9 1HH,34.11
SW16 5NP,18.45
E17 6JJ,35.0
KT6 4NS,20.41
NW11 7PL,21.23
SE26 5QF,45.82
RM11 1RL,30.72
CR0 1DN,27.93
E14 9BX,29.48
E9 6LH,25.0
SW14 8LP,15.95
NW10 2DY,22.0
EN2 0PW,21.88
EN2 6ED,21.92
HA8 7JG,44.25
UB7 8EN,27.32
CR0 1PD,18.45
SW19 2RD,30.8
W1T 5NJ,38.38
HA5 3HR,36.65
HA5 3HR,27.0
NW10 7SU,24.97
BR1 1RW,31.65
E9 6ND,42.59
SE16 7DW,27.01
E5 8BY,35.71
SE9 1BA,24.39
TW1 3LE,45.2
E16 1JQ,30.0
HA0 4GJ,25.0
N10 3JB,31.01
SE9 1UT,40.23
SE8 4SA,14.12
EC1M 6HR,69.49
WC1X 8PX,128.62
SE6 4HH,18.8
N14 5PB,127.82
SW5 9QA,106.12
N7 6HL,137.88
RM11 3YD,30.67
W1G 8UG,145.08
TW9 1HE,30.0
E14 9QE,36.33
SE18 6GD,30.0
E20 3AS,30.0
NW9 5GW,299.53
TW3 3PJ,47.99
NW2 6GP,20.0
TW9 1TW,42.24
E3 3AE,27.43
E3 3AE,34.87
W3 6NL,23.83
SW9 8PD,25.0
W1C 1BL,94.29
W10 5SA,50.54
KT1 3AY,25.0
W1T 2JL,35.26
SE14 5RS,23.0
UB11 1AA,29.07
UB11 1FH,22.56
W3 6RT,25.0
EC2A 2AB,29.5
W14 0QH,44.74
NW10 5PA,58.06
SM1 1LB,41.96
CR0 1GG,17.62
SE9 5JF,22.57
E3 2RE,46.77
E1 2JA,39.5
RM7 0AU,17.0
E14 7AF,25.0
W14 0QH,50.0
SE6 4SN,49.65
RM12 4UH,8.21
SM6 8QG,23.2
TW7 6RJ,22.5
E14 9SL,30.0
SE18 6LS,19.99
KT1 1JB,31.06
E16 1EH,25.0
UB3 4RF,16.0
KT1,34.25
